customer_state,product_category_name,Count_industry,Average Price per state
PI,construcao_ferramentas_construcao,1,210.0
SP,eletrodomesticos,366,101.76554644808743
RJ,eletrodomesticos,94,99.71308510638299
RS,eletrodomesticos,45,143.8062222222222
ES,eletrodomesticos,15,74.73066666666666
MG,eletrodomesticos,96,64.50229166666666
SC,eletrodomesticos,26,118.2503846153846
PR,eletrodomesticos,48,128.47708333333333
MS,eletrodomesticos,8,40.30625
BA,eletrodomesticos,41,68.0680487804878
PA,eletrodomesticos,10,65.05499999999999
AM,eletrodomesticos,2,95.4
GO,eletrodomesticos,14,51.019999999999996
PE,eletrodomesticos,5,47.53
PI,eletrodomesticos,4,77.125
RR,eletrodomesticos,3,318.06
MT,eletrodomesticos,9,116.91000000000001
CE,eletrodomesticos,7,240.12857142857143
MA,eletrodomesticos,3,432.59999999999997
SE,eletrodomesticos,1,80.0
DF,eletrodomesticos,16,113.214375
RN,eletrodomesticos,2,217.125
PB,eletrodomesticos,2,1155.0
TO,eletrodomesticos,1,143.75
AL,eletrodomesticos,3,68.85000000000001
RO,eletrodomesticos,2,130.79
SP,instrumentos_musicais,288,280.64711805555555
BA,instrumentos_musicais,41,267.02926829268296
GO,instrumentos_musicais,9,163.64888888888888
PR,instrumentos_musicais,39,264.52025641025637
MG,instrumentos_musicais,81,330.0708641975309
ES,instrumentos_musicais,23,231.1904347826087
RJ,instrumentos_musicais,82,268.9206097560976
MA,instrumentos_musicais,10,347.70500000000004
DF,instrumentos_musicais,10,253.26
SC,instrumentos_musicais,30,258.063
RS,instrumentos_musicais,32,284.58125
PI,instrumentos_musicais,9,242.60000000000002
PB,instrumentos_musicais,4,251.95
MS,instrumentos_musicais,7,511.7857142857143
PA,instrumentos_musicais,10,173.33700000000002
RN,instrumentos_musicais,2,204.89999999999998
PE,instrumentos_musicais,11,582.7727272727273
CE,instrumentos_musicais,7,465.95285714285717
MT,instrumentos_musicais,6,636.4499999999999
TO,instrumentos_musicais,1,36.9
AP,instrumentos_musicais,2,146.95
SE,instrumentos_musicais,4,717.45
AL,instrumentos_musicais,1,367.0
AC,instrumentos_musicais,1,36.9
RO,instrumentos_musicais,1,39.9
AM,instrumentos_musicais,1,439.0
PR,eletroportateis,42,267.07952380952383
SP,eletroportateis,309,238.7236569579288
MG,eletroportateis,66,265.86348484848486
SE,eletroportateis,3,495.56666666666666
RS,eletroportateis,48,356.30625000000003
RJ,eletroportateis,96,318.5072916666667
PA,eletroportateis,9,374.02777777777777
BA,eletroportateis,19,205.6242105263158
MT,eletroportateis,8,437.8625
MS,eletroportateis,7,42.458571428571425
GO,eletroportateis,11,243.62545454545455
PB,eletroportateis,5,452.27199999999993
DF,eletroportateis,25,637.4051999999999
ES,eletroportateis,3,222.91666666666666
SC,eletroportateis,27,315.59407407407406
CE,eletroportateis,8,630.41125
AC,eletroportateis,1,54.0
PE,eletroportateis,3,260.63
RO,eletroportateis,1,99.9
RN,eletroportateis,5,94.99199999999999
MA,eletroportateis,2,131.45
GO,casa_construcao,15,191.14666666666668
MG,casa_construcao,60,137.8483333335
MT,casa_construcao,7,155.04
MA,casa_construcao,5,142.752
PR,casa_construcao,24,114.50458333333334
SP,casa_construcao,285,125.51298245578946
RJ,casa_construcao,78,120.74397435897437
RS,casa_construcao,43,174.36558139534884
DF,casa_construcao,7,113.37714285714286
SC,casa_construcao,25,155.1248
ES,casa_construcao,17,136.6441176470588
MS,casa_construcao,8,176.0
BA,casa_construcao,14,189.58785714285713
RN,casa_construcao,1,452.6
AM,casa_construcao,4,188.35
PI,casa_construcao,4,205.14999999999998
CE,casa_construcao,10,158.16499999
PE,casa_construcao,7,191.66428571428574
SE,casa_construcao,4,239.7375
PB,casa_construcao,6,184.875
PA,casa_construcao,2,124.89999999999999
AL,casa_construcao,3,210.25
TO,casa_construcao,1,79.9
SP,livros_interesse_geral,229,84.13379912668123
PR,livros_interesse_geral,38,82.425
CE,livros_interesse_geral,8,234.74374999999998
PI,livros_interesse_geral,1,133.9
MG,livros_interesse_geral,53,83.97301886792452
SC,livros_interesse_geral,25,86.0008
RS,livros_interesse_geral,30,89.57833333333333
RJ,livros_interesse_geral,57,74.49561403508773
PE,livros_interesse_geral,8,80.385
RN,livros_interesse_geral,27,53.05925925925926
AM,livros_interesse_geral,1,87.0
PB,livros_interesse_geral,5,36.938
DF,livros_interesse_geral,19,72.02052631578948
ES,livros_interesse_geral,11,144.98636363636365
PA,livros_interesse_geral,6,35.28
MS,livros_interesse_geral,2,115.5
